2012-10-25 12:57:50 UT=1351169870 &: ID=28461fef030000fd PS=1 T=7.44   T_MCU=7.4   V_MCU=3.08 UP=1A2DB4 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=196 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 12:57:52 UT=1351169872 &: ID=28f635ef030000bf PS=0 T=11.50  T1=6.81   P1=0 P1_T=0.000   UP=2C9115 RH=53.3 [ADDR=246.191 SEQ=54 RSSI=6 LQI=216 DRP=1.00]
2012-10-25 12:58:01 UT=1351169881 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=2.9   V_MCU=3.08 UP=17FB40 RH=61.6 V_IN=13.34 [ADDR=181.198 SEQ=98 RSSI=0 LQI=255 DRP=1.18]
2012-10-25 12:58:11 UT=1351169891 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B7CEC RH=35.8
2012-10-25 12:58:50 UT=1351169930 &: ID=28461fef030000fd PS=1 T=7.44   T_MCU=7.4   V_MCU=3.08 UP=1A2DF0 RH=72.8 V_IN=4.87  [ADDR=70.253 SEQ=197 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 12:58:52 UT=1351169932 &: ID=28f635ef030000bf PS=0 T=11.56  T1=6.75   P1=0 P1_T=0.000   UP=2C9151 RH=52.6 [ADDR=246.191 SEQ=55 RSSI=5 LQI=196 DRP=1.00]
2012-10-25 12:59:01 UT=1351169941 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=4.1   V_MCU=3.08 UP=17FB7C RH=61.3 V_IN=13.25 [ADDR=181.198 SEQ=99 RSSI=0 LQI=255 DRP=1.14]
2012-10-25 12:59:11 UT=1351169951 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7D28 RH=35.7
2012-10-25 12:59:50 UT=1351169990 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A2E2C RH=72.8 V_IN=4.85  [ADDR=70.253 SEQ=198 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 12:59:52 UT=1351169992 &: ID=28f635ef030000bf PS=0 T=11.56  T1=6.75   P1=0 P1_T=0.000   UP=2C918D RH=52.5 [ADDR=246.191 SEQ=56 RSSI=5 LQI=196 DRP=1.00]
2012-10-25 13:00:01 UT=1351170001 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=4.1   V_MCU=3.08 UP=17FBB8 RH=61.1 V_IN=13.20 [ADDR=181.198 SEQ=100 RSSI=0 LQI=255 DRP=1.10]
2012-10-25 13:00:11 UT=1351170011 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7D64 RH=35.7
2012-10-25 13:00:50 UT=1351170050 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A2E68 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=199 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:00:52 UT=1351170052 &: ID=28f635ef030000bf PS=0 T=11.56  T1=6.75   P1=0 P1_T=0.000   UP=2C91C9 RH=52.3 [ADDR=246.191 SEQ=57 RSSI=5 LQI=204 DRP=1.00]
2012-10-25 13:01:01 UT=1351170061 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=4.1   V_MCU=3.08 UP=17FBF4 RH=60.2 V_IN=13.34 [ADDR=181.198 SEQ=101 RSSI=0 LQI=255 DRP=1.07]
2012-10-25 13:01:11 UT=1351170071 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7DA0 RH=35.7
2012-10-25 13:01:50 UT=1351170110 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A2EA4 RH=72.8 V_IN=4.90  [ADDR=70.253 SEQ=200 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:01:52 UT=1351170112 &: ID=28f635ef030000bf PS=0 T=11.56  T1=6.75   P1=0 P1_T=0.000   UP=2C9205 RH=52.3 [ADDR=246.191 SEQ=58 RSSI=6 LQI=212 DRP=1.00]
2012-10-25 13:02:01 UT=1351170121 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FC30 RH=61.0 V_IN=13.44 [ADDR=181.198 SEQ=102 RSSI=0 LQI=255 DRP=1.05]
2012-10-25 13:02:11 UT=1351170131 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7DDC RH=35.7
2012-10-25 13:02:50 UT=1351170170 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A2EE0 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=201 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:02:52 UT=1351170172 &: ID=28f635ef030000bf PS=0 T=11.56  T1=6.75   P1=0 P1_T=0.000   UP=2C9241 RH=52.7 [ADDR=246.191 SEQ=59 RSSI=5 LQI=208 DRP=1.00]
2012-10-25 13:03:01 UT=1351170181 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FC6C RH=61.1 V_IN=13.34 [ADDR=181.198 SEQ=103 RSSI=0 LQI=255 DRP=1.04]
2012-10-25 13:03:11 UT=1351170191 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7E18 RH=35.7
2012-10-25 13:03:50 UT=1351170230 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A2F1C RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=202 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:03:52 UT=1351170232 &: ID=28f635ef030000bf PS=0 T=11.63  T1=6.81   P1=0 P1_T=0.000   UP=2C927D RH=52.5 [ADDR=246.191 SEQ=60 RSSI=5 LQI=232 DRP=1.00]
2012-10-25 13:04:01 UT=1351170241 &: ID=28b5a3d2020000c6 PS=1 T=4.50   T_MCU=4.1   V_MCU=3.08 UP=17FCA8 RH=63.0 V_IN=13.34 [ADDR=181.198 SEQ=104 RSSI=0 LQI=255 DRP=1.03]
2012-10-25 13:04:11 UT=1351170251 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7E54 RH=35.7
2012-10-25 13:04:50 UT=1351170290 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A2F58 RH=72.8 V_IN=4.92  [ADDR=70.253 SEQ=203 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:04:52 UT=1351170292 &: ID=28f635ef030000bf PS=0 T=11.63  T1=6.75   P1=0 P1_T=0.000   UP=2C92B9 RH=52.3 [ADDR=246.191 SEQ=61 RSSI=5 LQI=232 DRP=1.00]
2012-10-25 13:05:01 UT=1351170301 &: ID=28b5a3d2020000c6 PS=1 T=4.44   T_MCU=4.1   V_MCU=3.08 UP=17FCE4 RH=61.5 V_IN=13.29 [ADDR=181.198 SEQ=105 RSSI=0 LQI=255 DRP=1.02]
2012-10-25 13:05:11 UT=1351170311 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7E90 RH=35.7
2012-10-25 13:05:50 UT=1351170350 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=6.3   V_MCU=3.08 UP=1A2F94 RH=72.8 V_IN=4.85  [ADDR=70.253 SEQ=204 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:05:52 UT=1351170352 &: ID=28f635ef030000bf PS=0 T=11.69  T1=6.81   P1=0 P1_T=0.000   UP=2C92F5 RH=52.1 [ADDR=246.191 SEQ=62 RSSI=6 LQI=244 DRP=1.00]
2012-10-25 13:06:01 UT=1351170361 &: ID=28b5a3d2020000c6 PS=1 T=4.44   T_MCU=4.1   V_MCU=3.08 UP=17FD20 RH=61.0 V_IN=13.22 [ADDR=181.198 SEQ=106 RSSI=0 LQI=255 DRP=1.01]
2012-10-25 13:06:11 UT=1351170371 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B7ECC RH=35.7
2012-10-25 13:06:50 UT=1351170410 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A2FD0 RH=72.9 V_IN=4.89  [ADDR=70.253 SEQ=205 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:06:52 UT=1351170412 &: ID=28f635ef030000bf PS=0 T=11.69  T1=6.81   P1=0 P1_T=0.000   UP=2C9331 RH=52.2 [ADDR=246.191 SEQ=63 RSSI=6 LQI=192 DRP=1.00]
2012-10-25 13:07:01 UT=1351170421 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=4.1   V_MCU=3.08 UP=17FD5C RH=60.6 V_IN=13.34 [ADDR=181.198 SEQ=107 RSSI=0 LQI=255 DRP=1.01]
2012-10-25 13:07:11 UT=1351170431 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7F08 RH=35.7
2012-10-25 13:07:50 UT=1351170470 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A300C RH=72.9 V_IN=4.89  [ADDR=70.253 SEQ=206 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:07:52 UT=1351170472 &: ID=28f635ef030000bf PS=0 T=11.69  T1=6.81   P1=0 P1_T=0.000   UP=2C936D RH=52.3 [ADDR=246.191 SEQ=64 RSSI=5 LQI=228 DRP=1.00]
2012-10-25 13:08:01 UT=1351170481 &: ID=28b5a3d2020000c6 PS=1 T=4.44   T_MCU=5.2   V_MCU=3.08 UP=17FD98 RH=60.6 V_IN=13.51 [ADDR=181.198 SEQ=108 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:08:11 UT=1351170491 &: ID=284837ce0200007c PS=0 T=21.94  P0_T=0.000   P1=E P1_T=0.000   UP=B7F44 RH=35.7
2012-10-25 13:08:50 UT=1351170530 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A3048 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=207 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:08:52 UT=1351170532 &: ID=28f635ef030000bf PS=0 T=11.69  T1=6.81   P1=0 P1_T=0.000   UP=2C93A9 RH=52.8 [ADDR=246.191 SEQ=65 RSSI=5 LQI=248 DRP=1.00]
